worker1, worker2, score, money, flask, gear, startflag, score1(startFlag=True), score2(startFlag=False)
E,L,1.0,0.0,0.0,9.0,4.0,39,10
E,L,1.0,0.0,0.0,9.0,5.0,33,4
E,L,1.0,0.0,0.0,9.0,6.0,33,4
E,L,1.0,0.0,0.0,9.0,7.0,33,4
E,L,1.0,0.0,0.0,9.0,8.0,33,4
E,L,1.0,0.0,0.0,9.0,9.0,33,4
E,L,1.0,1.0,0.0,0.0,0.0,47,48
E,L,1.0,1.0,0.0,0.0,1.0,33,41
E,L,1.0,1.0,0.0,0.0,2.0,45,35
E,L,1.0,1.0,0.0,0.0,3.0,52,50
E,L,1.0,1.0,0.0,0.0,4.0,52,50
E,L,1.0,1.0,0.0,0.0,5.0,52,50
E,L,1.0,1.0,0.0,0.0,6.0,52,50
E,L,1.0,1.0,0.0,0.0,7.0,52,50
E,L,1.0,1.0,0.0,0.0,8.0,52,50
E,L,1.0,1.0,0.0,0.0,9.0,52,50
E,L,1.0,1.0,0.0,1.0,0.0,66,60
E,L,1.0,1.0,0.0,1.0,1.0,90,60
E,L,1.0,1.0,0.0,1.0,2.0,104,44
E,L,1.0,1.0,0.0,1.0,3.0,54,98
E,L,1.0,1.0,0.0,1.0,4.0,86,25
E,L,1.0,1.0,0.0,1.0,5.0,86,25
E,L,1.0,1.0,0.0,1.0,6.0,66,72
E,L,1.0,1.0,0.0,1.0,7.0,66,72
E,L,1.0,1.0,0.0,1.0,8.0,66,72
E,L,1.0,1.0,0.0,1.0,9.0,66,72
E,L,1.0,1.0,0.0,2.0,0.0,21,19
E,L,1.0,1.0,0.0,2.0,1.0,17,29
E,L,1.0,1.0,0.0,2.0,2.0,25,15
E,L,1.0,1.0,0.0,2.0,3.0,27,15
E,L,1.0,1.0,0.0,2.0,4.0,23,17
E,L,1.0,1.0,0.0,2.0,5.0,27,17
E,L,1.0,1.0,0.0,2.0,6.0,42,2
E,L,1.0,1.0,0.0,2.0,7.0,42,2
E,L,1.0,1.0,0.0,2.0,8.0,42,2
E,L,1.0,1.0,0.0,2.0,9.0,42,2
E,L,1.0,1.0,0.0,3.0,0.0,19,25
E,L,1.0,1.0,0.0,3.0,1.0,17,8
E,L,1.0,1.0,0.0,3.0,2.0,27,25
E,L,1.0,1.0,0.0,3.0,3.0,4,2
E,L,1.0,1.0,0.0,3.0,4.0,21,21
E,L,1.0,1.0,0.0,3.0,5.0,0,23
E,L,1.0,1.0,0.0,3.0,6.0,0,23
E,L,1.0,1.0,0.0,3.0,7.0,25,0
E,L,1.0,1.0,0.0,3.0,8.0,25,0
E,L,1.0,1.0,0.0,3.0,9.0,2,21
E,L,1.0,1.0,0.0,4.0,0.0,19,25
E,L,1.0,1.0,0.0,4.0,1.0,17,2
E,L,1.0,1.0,0.0,4.0,2.0,19,19
E,L,1.0,1.0,0.0,4.0,3.0,46,6
E,L,1.0,1.0,0.0,4.0,4.0,46,6
E,L,1.0,1.0,0.0,4.0,5.0,0,23
E,L,1.0,1.0,0.0,4.0,6.0,0,23
E,L,1.0,1.0,0.0,4.0,7.0,0,23
E,L,1.0,1.0,0.0,4.0,8.0,0,23
E,L,1.0,1.0,0.0,4.0,9.0,0,23
E,L,1.0,1.0,0.0,5.0,0.0,23,23
E,L,1.0,1.0,0.0,5.0,1.0,21,2
E,L,1.0,1.0,0.0,5.0,2.0,27,2
E,L,1.0,1.0,0.0,5.0,3.0,46,6
E,L,1.0,1.0,0.0,5.0,4.0,46,6
E,L,1.0,1.0,0.0,5.0,5.0,0,15
E,L,1.0,1.0,0.0,5.0,6.0,0,15
E,L,1.0,1.0,0.0,5.0,7.0,0,15
E,L,1.0,1.0,0.0,5.0,8.0,0,15
E,L,1.0,1.0,0.0,5.0,9.0,0,15
E,L,1.0,1.0,0.0,6.0,0.0,31,33
E,L,1.0,1.0,0.0,6.0,1.0,17,4
E,L,1.0,1.0,0.0,6.0,2.0,19,0
E,L,1.0,1.0,0.0,6.0,3.0,46,6
E,L,1.0,1.0,0.0,6.0,4.0,46,6
E,L,1.0,1.0,0.0,6.0,5.0,15,2
E,L,1.0,1.0,0.0,6.0,6.0,0,23
E,L,1.0,1.0,0.0,6.0,7.0,0,23
E,L,1.0,1.0,0.0,6.0,8.0,0,23
E,L,1.0,1.0,0.0,6.0,9.0,0,23
E,L,1.0,1.0,0.0,7.0,0.0,31,33
E,L,1.0,1.0,0.0,7.0,1.0,33,6
E,L,1.0,1.0,0.0,7.0,2.0,33,6
E,L,1.0,1.0,0.0,7.0,3.0,46,8
E,L,1.0,1.0,0.0,7.0,4.0,46,8
E,L,1.0,1.0,0.0,7.0,5.0,15,2
E,L,1.0,1.0,0.0,7.0,6.0,15,2
E,L,1.0,1.0,0.0,7.0,7.0,0,23
E,L,1.0,1.0,0.0,7.0,8.0,0,23
E,L,1.0,1.0,0.0,7.0,9.0,0,23
E,L,1.0,1.0,0.0,8.0,0.0,31,33
E,L,1.0,1.0,0.0,8.0,1.0,31,10
E,L,1.0,1.0,0.0,8.0,2.0,27,0
E,L,1.0,1.0,0.0,8.0,3.0,44,6
E,L,1.0,1.0,0.0,8.0,4.0,44,6
E,L,1.0,1.0,0.0,8.0,5.0,15,2
E,L,1.0,1.0,0.0,8.0,6.0,15,2
E,L,1.0,1.0,0.0,8.0,7.0,0,23
E,L,1.0,1.0,0.0,8.0,8.0,0,23
E,L,1.0,1.0,0.0,8.0,9.0,0,23
E,L,1.0,1.0,0.0,9.0,0.0,31,33
E,L,1.0,1.0,0.0,9.0,1.0,31,10
E,L,1.0,1.0,0.0,9.0,2.0,27,0
E,L,1.0,1.0,0.0,9.0,3.0,44,6
E,L,1.0,1.0,0.0,9.0,4.0,44,6
E,L,1.0,1.0,0.0,9.0,5.0,0,17
E,L,1.0,1.0,0.0,9.0,6.0,0,17
E,L,1.0,1.0,0.0,9.0,7.0,0,17
E,L,1.0,1.0,0.0,9.0,8.0,0,17
E,L,1.0,1.0,0.0,9.0,9.0,0,17
E,L,1.0,2.0,0.0,0.0,0.0,27,52
E,L,1.0,2.0,0.0,0.0,1.0,27,52
E,L,1.0,2.0,0.0,0.0,2.0,27,52
E,L,1.0,2.0,0.0,0.0,3.0,33,50
E,L,1.0,2.0,0.0,0.0,4.0,33,50
E,L,1.0,2.0,0.0,0.0,5.0,33,50
E,L,1.0,2.0,0.0,0.0,6.0,33,50
E,L,1.0,2.0,0.0,0.0,7.0,33,50
E,L,1.0,2.0,0.0,0.0,8.0,33,50
E,L,1.0,2.0,0.0,0.0,9.0,33,50
E,L,1.0,2.0,0.0,1.0,0.0,84,46
E,L,1.0,2.0,0.0,1.0,1.0,50,86
E,L,1.0,2.0,0.0,1.0,2.0,50,86
E,L,1.0,2.0,0.0,1.0,3.0,50,86
E,L,1.0,2.0,0.0,1.0,4.0,86,50
E,L,1.0,2.0,0.0,1.0,5.0,86,50
E,L,1.0,2.0,0.0,1.0,6.0,86,50
E,L,1.0,2.0,0.0,1.0,7.0,44,88
E,L,1.0,2.0,0.0,1.0,8.0,80,52
E,L,1.0,2.0,0.0,1.0,9.0,50,58
E,L,1.0,2.0,0.0,2.0,0.0,19,19
E,L,1.0,2.0,0.0,2.0,1.0,19,27
E,L,1.0,2.0,0.0,2.0,2.0,27,23
E,L,1.0,2.0,0.0,2.0,3.0,23,31
E,L,1.0,2.0,0.0,2.0,4.0,31,31
E,L,1.0,2.0,0.0,2.0,5.0,31,31
E,L,1.0,2.0,0.0,2.0,6.0,31,31
E,L,1.0,2.0,0.0,2.0,7.0,31,31
E,L,1.0,2.0,0.0,2.0,8.0,21,25
E,L,1.0,2.0,0.0,2.0,9.0,21,25
E,L,1.0,2.0,0.0,3.0,0.0,19,21
E,L,1.0,2.0,0.0,3.0,1.0,19,19
E,L,1.0,2.0,0.0,3.0,2.0,17,17
E,L,1.0,2.0,0.0,3.0,3.0,17,17
E,L,1.0,2.0,0.0,3.0,4.0,2,19
E,L,1.0,2.0,0.0,3.0,5.0,19,19
E,L,1.0,2.0,0.0,3.0,6.0,19,19
E,L,1.0,2.0,0.0,3.0,7.0,2,19
E,L,1.0,2.0,0.0,3.0,8.0,15,25
E,L,1.0,2.0,0.0,3.0,9.0,0,44
E,L,1.0,2.0,0.0,4.0,0.0,21,19
E,L,1.0,2.0,0.0,4.0,1.0,21,17
E,L,1.0,2.0,0.0,4.0,2.0,21,17
E,L,1.0,2.0,0.0,4.0,3.0,2,19
E,L,1.0,2.0,0.0,4.0,4.0,2,19
E,L,1.0,2.0,0.0,4.0,5.0,19,2
E,L,1.0,2.0,0.0,4.0,6.0,44,0
E,L,1.0,2.0,0.0,4.0,7.0,44,2
E,L,1.0,2.0,0.0,4.0,8.0,44,2
E,L,1.0,2.0,0.0,4.0,9.0,44,2
E,L,1.0,2.0,0.0,5.0,0.0,19,25
E,L,1.0,2.0,0.0,5.0,1.0,15,23
E,L,1.0,2.0,0.0,5.0,2.0,17,6
E,L,1.0,2.0,0.0,5.0,3.0,17,6
E,L,1.0,2.0,0.0,5.0,4.0,17,6
E,L,1.0,2.0,0.0,5.0,5.0,0,19
E,L,1.0,2.0,0.0,5.0,6.0,0,19
E,L,1.0,2.0,0.0,5.0,7.0,15,23
E,L,1.0,2.0,0.0,5.0,8.0,15,23
E,L,1.0,2.0,0.0,5.0,9.0,15,23
E,L,1.0,2.0,0.0,6.0,0.0,21,23
E,L,1.0,2.0,0.0,6.0,1.0,23,0
E,L,1.0,2.0,0.0,6.0,2.0,23,0
E,L,1.0,2.0,0.0,6.0,3.0,19,6
E,L,1.0,2.0,0.0,6.0,4.0,19,6
E,L,1.0,2.0,0.0,6.0,5.0,50,2
E,L,1.0,2.0,0.0,6.0,6.0,0,19
E,L,1.0,2.0,0.0,6.0,7.0,15,23
E,L,1.0,2.0,0.0,6.0,8.0,15,23
E,L,1.0,2.0,0.0,6.0,9.0,15,23
E,L,1.0,2.0,0.0,7.0,0.0,21,23
E,L,1.0,2.0,0.0,7.0,1.0,17,0
E,L,1.0,2.0,0.0,7.0,2.0,17,0
E,L,1.0,2.0,0.0,7.0,3.0,17,0
E,L,1.0,2.0,0.0,7.0,4.0,17,0
E,L,1.0,2.0,0.0,7.0,5.0,19,4
E,L,1.0,2.0,0.0,7.0,6.0,50,4
E,L,1.0,2.0,0.0,7.0,7.0,15,23
E,L,1.0,2.0,0.0,7.0,8.0,15,23
E,L,1.0,2.0,0.0,7.0,9.0,15,23
E,L,1.0,2.0,0.0,8.0,0.0,21,23
E,L,1.0,2.0,0.0,8.0,1.0,19,0
E,L,1.0,2.0,0.0,8.0,2.0,19,0
E,L,1.0,2.0,0.0,8.0,3.0,19,0
E,L,1.0,2.0,0.0,8.0,4.0,19,0
E,L,1.0,2.0,0.0,8.0,5.0,2,17
E,L,1.0,2.0,0.0,8.0,6.0,2,17
E,L,1.0,2.0,0.0,8.0,7.0,0,15
E,L,1.0,2.0,0.0,8.0,8.0,0,15
E,L,1.0,2.0,0.0,8.0,9.0,0,15
E,L,1.0,2.0,0.0,9.0,0.0,19,0
E,L,1.0,2.0,0.0,9.0,1.0,19,0
E,L,1.0,2.0,0.0,9.0,2.0,19,0
E,L,1.0,2.0,0.0,9.0,3.0,19,0
E,L,1.0,2.0,0.0,9.0,4.0,19,0
E,L,1.0,2.0,0.0,9.0,5.0,2,17
E,L,1.0,2.0,0.0,9.0,6.0,2,17
E,L,1.0,2.0,0.0,9.0,7.0,0,15
E,L,1.0,2.0,0.0,9.0,8.0,0,15
E,L,1.0,2.0,0.0,9.0,9.0,0,15
E,L,1.0,3.0,0.0,0.0,0.0,0,56
E,L,1.0,3.0,0.0,0.0,1.0,0,56
E,L,1.0,3.0,0.0,0.0,2.0,0,56
E,L,1.0,3.0,0.0,0.0,3.0,0,56
E,L,1.0,3.0,0.0,0.0,4.0,0,56
E,L,1.0,3.0,0.0,0.0,5.0,0,56
E,L,1.0,3.0,0.0,0.0,6.0,0,56
E,L,1.0,3.0,0.0,0.0,7.0,0,56
E,L,1.0,3.0,0.0,0.0,8.0,0,56
E,L,1.0,3.0,0.0,0.0,9.0,0,56
E,L,1.0,3.0,0.0,1.0,0.0,82,54
E,L,1.0,3.0,0.0,1.0,1.0,82,54
E,L,1.0,3.0,0.0,1.0,2.0,82,54
E,L,1.0,3.0,0.0,1.0,3.0,82,54
E,L,1.0,3.0,0.0,1.0,4.0,82,46
E,L,1.0,3.0,0.0,1.0,5.0,50,86
E,L,1.0,3.0,0.0,1.0,6.0,86,50
E,L,1.0,3.0,0.0,1.0,7.0,86,50
E,L,1.0,3.0,0.0,1.0,8.0,86,50
E,L,1.0,3.0,0.0,1.0,9.0,86,50
E,L,1.0,3.0,0.0,2.0,0.0,0,17
E,L,1.0,3.0,0.0,2.0,1.0,15,0
E,L,1.0,3.0,0.0,2.0,2.0,15,15
E,L,1.0,3.0,0.0,2.0,3.0,15,17
E,L,1.0,3.0,0.0,2.0,4.0,21,21
E,L,1.0,3.0,0.0,2.0,5.0,21,21
E,L,1.0,3.0,0.0,2.0,6.0,21,21
E,L,1.0,3.0,0.0,2.0,7.0,21,21
E,L,1.0,3.0,0.0,2.0,8.0,21,21
E,L,1.0,3.0,0.0,2.0,9.0,21,21
E,L,1.0,3.0,0.0,3.0,0.0,15,17
E,L,1.0,3.0,0.0,3.0,1.0,0,15
E,L,1.0,3.0,0.0,3.0,2.0,15,0
E,L,1.0,3.0,0.0,3.0,3.0,15,0
E,L,1.0,3.0,0.0,3.0,4.0,15,15
E,L,1.0,3.0,0.0,3.0,5.0,15,15
E,L,1.0,3.0,0.0,3.0,6.0,15,15
E,L,1.0,3.0,0.0,3.0,7.0,15,15
E,L,1.0,3.0,0.0,3.0,8.0,15,15
E,L,1.0,3.0,0.0,3.0,9.0,15,15
E,L,1.0,3.0,0.0,4.0,0.0,15,0
E,L,1.0,3.0,0.0,4.0,1.0,15,0
E,L,1.0,3.0,0.0,4.0,2.0,15,0
E,L,1.0,3.0,0.0,4.0,3.0,15,0
E,L,1.0,3.0,0.0,4.0,4.0,17,2
E,L,1.0,3.0,0.0,4.0,5.0,15,2
E,L,1.0,3.0,0.0,4.0,6.0,15,19
E,L,1.0,3.0,0.0,4.0,7.0,21,19
E,L,1.0,3.0,0.0,4.0,8.0,0,15
E,L,1.0,3.0,0.0,4.0,9.0,17,15
E,L,1.0,3.0,0.0,5.0,0.0,19,19
E,L,1.0,3.0,0.0,5.0,1.0,19,19
E,L,1.0,3.0,0.0,5.0,2.0,19,19
E,L,1.0,3.0,0.0,5.0,3.0,19,19
E,L,1.0,3.0,0.0,5.0,4.0,19,19
E,L,1.0,3.0,0.0,5.0,5.0,2,17
E,L,1.0,3.0,0.0,5.0,6.0,2,17
E,L,1.0,3.0,0.0,5.0,7.0,2,17
E,L,1.0,3.0,0.0,5.0,8.0,2,17
E,L,1.0,3.0,0.0,5.0,9.0,17,15
E,L,1.0,3.0,0.0,6.0,0.0,21,19
E,L,1.0,3.0,0.0,6.0,1.0,2,17
E,L,1.0,3.0,0.0,6.0,2.0,21,15
E,L,1.0,3.0,0.0,6.0,3.0,21,15
E,L,1.0,3.0,0.0,6.0,4.0,2,17
E,L,1.0,3.0,0.0,6.0,5.0,2,17
E,L,1.0,3.0,0.0,6.0,6.0,2,17
E,L,1.0,3.0,0.0,6.0,7.0,2,17
E,L,1.0,3.0,0.0,6.0,8.0,2,15
E,L,1.0,3.0,0.0,6.0,9.0,17,15
E,L,1.0,3.0,0.0,7.0,0.0,17,0
E,L,1.0,3.0,0.0,7.0,1.0,21,15
E,L,1.0,3.0,0.0,7.0,2.0,17,6
